t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,M NA,log HSize,F NA
2017-18,Bamako,1027002,,,1,,,1,,,1,1,,1,1,,,1.791759469,
2017-18,Bamako,1027003,,,,,1,,,,,,,,1,,,0.6931471806,
2017-18,Bamako,1027004,,1,,4,3,3,,1,,,1,1,3,1,,2.890371758,
2017-18,Bamako,1027005,,,,,1,,,,1,,,,1,,,1.098612289,
2017-18,Bamako,1027006,2,2,,,4,,,,1,1,,1,1,,,2.48490665,
2017-18,Bamako,1027007,,1,,1,2,,,,1,,1,,1,,,1.945910149,
2017-18,Bamako,1027008,1,2,1,,,2,1,1,,1,,,2,2,,2.564949357,
2017-18,Bamako,1027009,,1,,1,1,,,1,2,,,,1,,,1.945910149,
2017-18,Bamako,1028001,,,2,1,,,1,,1,1,2,2,,1,,2.397895273,
2017-18,Bamako,1028002,,,,,1,1,,,,1,1,1,,1,,1.791759469,
2017-18,Bamako,1028003,,2,,,,1,,1,,,,,1,,,1.609437912,
2017-18,Bamako,1028004,,,,,,1,,,,,,,1,,,0.6931471806,
2017-18,Bamako,1028005,1,,,2,2,,1,1,1,1,,,,4,,2.564949357,
2017-18,Bamako,1028006,,1,,1,1,1,1,,,,,,,,,1.609437912,
2017-18,Bamako,1028007,,1,1,,,1,,1,1,,,,1,,,1.791759469,
2017-18,Bamako,1028008,6,3,4,6,5,5,1,2,5,2,2,4,5,2,,3.951243719,
2017-18,Bamako,1028009,,1,,,,1,,,,,,,1,,,1.098612289,
2017-18,Bamako,1029001,,,,,1,,,1,1,1,,,1,,,1.609437912,
2017-18,Bamako,1029002,,,,,2,,1,1,,,,2,1,,,1.945910149,
2017-18,Bamako,1029003,,,,,,1,,,,,,2,1,,,1.386294361,
2017-18,Bamako,1029004,1,,,,1,,,1,,,,,1,,,1.386294361,
2017-18,Bamako,1029005,4,,,1,6,,2,3,1,1,,4,1,,,3.135494216,
2017-18,Bamako,1029006,1,,,2,3,2,,2,,,1,1,,1,,2.564949357,
2017-18,Bamako,1029007,1,1,,,,1,,1,,1,,,1,,,1.791759469,
2017-18,Bamako,1029008,,,1,1,2,1,,2,,1,2,,1,,,2.397895273,
2017-18,Bamako,1029009,1,1,,,,1,,1,,,,,2,,,1.791759469,
2017-18,Kayes,103003,,2,,,2,,,2,,1,1,1,1,,,2.302585093,
2017-18,Kayes,103004,2,,,1,2,,,1,,,,,2,1,,2.197224577,
2017-18,Kayes,103005,,2,,,2,1,,3,4,,1,1,1,,,2.708050201,
2017-18,Kayes,103006,,1,1,,,1,,,2,2,,1,,1,,2.197224577,
